"ID","YEAR","MONTH","CITY TAX COLLECTIONS (NON-VEHICLE SALES)","CITY VEHICLE SALES TAX COLLECTIONS","CITY TOTAL TAX COLLECTIONS","PARISH TAX COLLECTIONS (NON-VEHICLE SALES TAXES)","PARISH VEHICLE TAX COLLECTIONS","PARISH TOTAL TAX COLLECTIONS","CITY-PARISH TOTAL (NON-VEHICLE SALES TAXES)","CITY-PARISH VEHICLE SALES TAX COLLECTIONS","CITY-PARISH TOTAL TAX COLLECTIONS"
"202512","2025","December","12,844,015","642,382","13,486,397","5,293,685","397,744","5,691,429","18,137,700","1,040,126","19,177,826"
"202511","2025","November","11,373,094","622,350","11,995,444","4,805,972","365,196","5,171,168","16,179,066","987,546","17,166,612"
"202510","2025","October","11,782,441","761,305","12,543,746","4,880,931","382,113","5,263,044","16,663,372","1,143,418","17,806,790"
"202509","2025","September","12,797,583","813,750","13,611,333","4,881,157","396,610","5,277,767","17,678,740","1,210,360","18,889,100"
"202508","2025","August","11,817,246","744,422","12,561,668","4,558,978","429,061","4,988,039","16,376,224","1,173,483","17,549,707"
"202507","2025","July","11,718,497","749,195","12,467,692","4,924,906","367,956","5,292,862","16,643,403","1,117,151","17,760,554"
"202506","2025","June","11,583,879","797,393","12,381,272","4,433,331","445,834","4,879,165","16,017,210","1,243,227","17,260,437"
"202505","2025","May","11,619,435","740,289","12,359,724","4,978,263","478,878","5,457,141","16,597,698","1,219,167","17,816,865"
"202504","2025","April","10,979,126","851,908","11,831,034","5,325,404","744,176","6,069,580","16,304,530","1,596,084","17,900,614"
"202503","2025","March","12,155,316","733,350","12,888,666","8,721,414","909,771","9,631,185","20,876,730","1,643,121","22,519,851"
"202502","2025","February","10,961,466","698,828","11,660,294","7,407,396","920,434","8,327,830","18,368,862","1,619,262","19,988,124"
"202501","2025","January","10,806,003","779,656","11,585,659","7,435,602","942,291","8,377,893","18,241,605","1,721,947","19,963,552"
"202412","2024","December","12,585,566","713,866","13,299,432","8,964,688","900,102","9,864,790","21,550,254","1,613,968","23,164,222"
"202411","2024","November","10,897,794","645,449","11,543,243","7,868,729","841,560","8,710,289","18,766,523","1,487,009","20,253,532"
"202410","2024","October","11,101,426","783,855","11,885,281","8,876,634","978,607","9,855,241","19,978,060","1,762,462","21,740,522"
"202409","2024","September","10,682,429","697,088","11,379,517","7,858,662","884,657","8,743,319","18,541,091","1,581,745","20,122,836"
"202408","2024","August","10,740,741","862,654","11,603,395","8,240,812","960,219","9,201,031","18,981,553","1,822,873","20,804,426"
"202407","2024","July","10,404,715","746,061","11,150,776","8,378,217","957,946","9,336,163","18,782,932","1,704,007","20,486,939"
"202406","2024","June","10,371,824","744,807","11,116,631","8,495,361","900,637","9,395,998","18,867,185","1,645,444","20,512,629"
"202405","2024","May","10,499,049","863,411","11,362,460","8,477,550","1,066,344","9,543,894","18,976,599","1,929,755","20,906,354"
"202404","2024","April","10,619,885","848,821","11,468,706","8,513,883","1,083,797","9,597,680","19,133,768","1,932,618","21,066,386"
"202403","2024","March","11,205,986","654,682","11,860,668","8,652,355","939,083","9,591,438","19,858,341","1,593,765","21,452,106"
"202402","2024","February","9,989,367","615,460","10,604,827","8,176,885","886,606","9,063,491","18,166,252","1,502,066","19,668,318"
"202401","2024","January","9,534,445","748,748","10,283,193","7,905,745","923,800","8,829,545","17,440,190","1,672,548","19,112,738"
"202312","2023","December","11,923,451","654,446","12,577,897","9,341,212","780,347","10,121,559","21,264,663","1,434,793","22,699,456"
"202311","2023","November","10,018,399","622,839","10,641,238","8,320,041","862,731","9,182,772","18,338,440","1,485,570","19,824,010"
"202310","2023","October","10,903,779","748,163","11,651,942","8,487,456","928,466","9,415,922","19,391,235","1,676,629","21,067,864"
"202309","2023","September","10,672,830","708,810","11,381,640","8,199,371","851,580","9,050,951","18,872,201","1,560,390","20,432,591"
"202308","2023","August","10,328,195","793,446","11,121,641","8,283,857","963,963","9,247,820","18,612,052","1,757,409","20,369,461"
"202307","2023","July","10,497,385","745,039","11,242,424","8,221,594","852,336","9,073,930","18,718,979","1,597,375","20,316,354"
"202306","2023","June","10,746,119","744,780","11,490,899","8,247,255","904,650","9,151,905","18,993,374","1,649,430","20,642,804"
"202305","2023","May","10,422,816","721,064","11,143,880","8,844,539","902,861","9,747,400","19,267,355","1,623,925","20,891,280"
"202304","2023","April","10,253,566","718,581","10,972,147","7,773,743","836,130","8,609,873","18,027,309","1,554,711","19,582,020"
"202303","2023","March","11,230,294","869,649","12,099,943","8,678,267","990,783","9,669,050","19,908,561","1,860,432","21,768,993"
"202302","2023","February","9,744,919","656,571","10,401,490","7,163,950","836,995","8,000,945","16,908,869","1,493,566","18,402,435"
"202301","2023","January","9,673,935","762,205","10,436,140","7,719,752","874,568","8,594,320","17,393,687","1,636,773","19,030,460"
"202212","2022","December","11,719,273","708,576","12,427,849","9,318,751","754,461","10,073,212","21,038,024","1,463,037","22,501,061"
"202211","2022","November","10,383,838","669,804","11,053,642","8,097,226","757,923","8,855,149","18,481,064","1,427,727","19,908,791"
"202210","2022","October","10,535,161","691,213","11,226,374","8,585,021","845,382","9,430,403","19,120,182","1,536,595","20,656,777"
"202209","2022","September","10,510,306","857,220","11,367,526","8,242,105","884,886","9,126,991","18,752,411","1,742,106","20,494,517"
"202208","2022","August","10,487,854","881,149","11,369,003","7,975,304","990,983","8,966,287","18,463,158","1,872,132","20,335,290"
"202207","2022","July","9,951,191","868,300","10,819,491","8,195,709","829,318","9,025,027","18,146,900","1,697,618","19,844,518"
